商会員名,士,農,工,商,侠
村雨,212.8,328.7,311.2,2054,494.8
村雨❄猫穂,147.6,1-8.2,100.3,327,189.6
大将さんぱち,216.9,33.84,53.6,34.4,156
岳飛,1247,1583,1349,1685,2745
どびも少忙,210.6,80.6,128.2,252.2,1057
もりお,192.1,170.2,1118,75.5,57.3
暴凶星✩社長,65.3,110.3,137,587.4,200.3
翁子,247.4,140.8,66.7,400.8,87.39
∂ↄoɻↄ,555.2,42.2,122.3,65.7,37
東方不敗,65.1,21.4,493.8,37.2,49.3
渦巻,81.5,53.5,111.7,381.8,84.9
ああああ,161.7,69.8,66.4,296.3,94.9
🎲zeRo兄,76.2,411.6,65.2,59.8,129.6
⚓️獄東⚓️,63.2,21.4,429.3,37.7,42
ペにょーる,79.4,46,116.4,106.8,189.6
マルコリーニ,284.9,69.9,43.5,44.4,61.7
❉縞❉,68,317.4,40.4,39.1,37.1
ルーク,104.5,56.5,72.1,75.6,118.2
村雨❁︎小春,65.9,40.6,41.2,187.5,69.7
荒川いづみ,25,16.9,23.5,259.1,27.5
村雨🎲拓,51.6,34.6,226.4,75.9,33.1
由芽,61.7,73.9,78.1,74.7,52.4
范凛紅,83.7,60.7,69.2,67.5,50
村雨　凛,36.4,16.3,179.8,20.1,28
☀️きこ,29,22.6,24.9,169.1,48
キヨメダカw,30,15.9,31.1,166,30.2
村雨⛄️きい,144.6,43.3,37.8,26.1,43.9
無害,131,25.4,34.1,24.7,31.7
【とら】,15.6,26,60.9,19.8,19.7
村雨かず,28.9,13.7,18,18.2,17
村雨✿ちり,13,15.5,10.2,6.4,43.7
他月,11.2,27.7,18.8,15.8,11.4
村雨✿かすみ15.5,7.3,8.9,7.2,23.6
助っ人岩久保10.4,6.8,16.6,6.7,6.1
