商会員名,士,農,工,商,侠
チャラ天,160,51,115,227,109
億万天,54,91,83,153,64
黒羽快斗天,46,16,24,21,62
さくら天,142,170,75,58,45
八方天👌,75,53,67,126,120
晃司天,76,128,48,65,84
盛♡彩り天,62,19,29,25,38
なす天🍆,58,12,26,88,52
黒羽青子天,29,18,86,21,23
南天🦆,60,29,29,26,39
あすみ天,7,4,10,5,76
🐦天ᐕ)ﾉ,21,7,8,42,7
海老天🦐,18,8,22,10,28
ピーマン天,27,7,11,9,30
ミョウガ天,10,19,13,9,23
とうきび天,18,7,9,12,28
天店長坂本,7,9,6,17,8
天ざる,30,9,7,8,15
天ぷら極🤍,11,7,9,7,23
天ぷら和,8,8,16,9,17
うに天,13,6,9,5,21
天ぷら巧,15,5,9,7,14
まつたけ天,20,5,6,6,12
からすみ天,12,5,4,7,21
天ぷら技,8,4,7,7,17
うなぎ天,11,4,11,8,14
天ぷら匠,7,5,8,7,10
キャビア天,6,5,11,5,11
あわび天,5,5,8,6,12
さくらんぼ天,6,3,4,4,9
アボカド天,3,1,1,3,2
ししとう天,2,1,1,3,3
ズッキーニ天,2,1,1,2,1
えだまめ天,1,1,1,1,1
